time="2022-08-03T08:20:15Z" level=info msg="Logger Configuration." fields.level=debug path=./log
time="2022-08-03T08:20:16Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-00-07-ea1ebfababd9c421c2b3925a6681430a81e569521d57a17f79db2105435dee9b.plot
time="2022-08-03T08:20:16Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-00-31-f6503ed4b82cc2e3e36c53885cc68b42695317b430e9c4537fb2eb63784865c3.plot
time="2022-08-03T08:20:16Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-00-55-499f525c71db3170916a215105e48548b0d98cddb2533fd6c4d62b14bfedffe7.plot
time="2022-08-03T08:20:16Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-03-01-f40b97963b8ef59b59f3daa869f8af7f25effe5ce0281bf42e31a2a2050518d0.plot
time="2022-08-03T08:20:16Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-03-25-605201496392fc67bd85d04a5e4cb2685f4c0040f689fcfcd6339b409231ff0f.plot
time="2022-08-03T08:20:16Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-03-49-a562bd9c0d6c38cd6b54d0a06b7ca5857a6f138437aba6533106274377481718.plot
time="2022-08-03T08:20:16Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-03-59-77a7ace4ae5b76064078270f5a29e1f3e894347805f89e8f0d0dc543bddfe8d6.plot
time="2022-08-03T08:20:16Z" level=info msg="init server" type=ws url="chiapp-sh1[default]"
time="2022-08-03T08:20:17Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-04-13-24c2810de328bbeb1988545359827b559d40ede9da1e07ac2e31ba783e1a2ef1.plot
time="2022-08-03T08:20:17Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-04-24-1fd00c293ff7740e5c5c9722baf836e68ec77446b514b0beb318a4277d8f452d.plot
time="2022-08-03T08:20:17Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-04-37-151898e71c30202c14d1cbff255edf6632f45727bb979566bc151919367dcf3f.plot
time="2022-08-03T08:20:17Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-05-01-593dac5c2ddeb377a92e04e2a8bd0c904c079bb9937bd2ce20dd3e05b7fba081.plot
time="2022-08-03T08:20:17Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-05-12-dc4977127a5405ba69d1d145784158257d6fbd65ec6b634abacef9e4a9142d26.plot
time="2022-08-03T08:20:17Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-05-25-2aad9a14ae5c9e35c7e50bb79a583992c802ab33ea4ae0704d03f76d0317c8a6.plot
time="2022-08-03T08:20:17Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-05-35-16ac7bb5c82e6d0616e3dbf84a39388a04861348557e1e3799482cf940bc30f5.plot
time="2022-08-03T08:20:17Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-05-49-0be3617c5407ee65eeff2c7ddc32f6397444594e7a26251872a898f2575da104.plot
time="2022-08-03T08:20:17Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-06-14-cd0ca7cff641c239d3ebf634b637c80e50397186155ecae05b9bc24abdb34642.plot
time="2022-08-03T08:20:17Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-06-47-9785f6a2d73b633f303e6a4e7c7f3eaf53f9e3f04d1f99a76739e8997d859786.plot
time="2022-08-03T08:20:17Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-06-48-a79b32b4859983a13e84b2de4a2fc9f772b3acf3f07f7e8263142b357c90ae0c.plot
time="2022-08-03T08:20:17Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-07-03-62ac0bfcd585a361e5c6e3a46ac9a1f5a68eb88cb0d6f366d43427ca6a381e6d.plot
time="2022-08-03T08:20:17Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-07-13-18ddc4172aa7e56c8bc6f9eb878635fc8c5cfdc840f11404d7fab38612d03b42.plot
time="2022-08-03T08:20:17Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-08-00-30c4f3ef5762107a5bce6b048911462b4579d6e217a45789cfad9124289642a8.plot
time="2022-08-03T08:20:17Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-08-15-2417cf18152ff1402b730c3aa19856b52099e45d47d31d6cb40b8cc3162c3a91.plot
time="2022-08-03T08:20:17Z" level=debug msg="load file" file name=/mnt/plots/driver0/plot-k32-2022-07-29-08-21-2525ce16d377f3ee84875896bc1605e47a2ab93114680fd7ec222e3a00a27305.plot
